HUD ID Number:,Project Name:,Project Address:,Project City:,Project State:,Project ZIP Code:,Project's Latitude:,Project's Longitude:,Unique 2010 Census Tract Identifier Code:,Total Number of Units:,Total Low-Income Units:,Compliance Monitoring Status
ORA20050030,KATERI PARK,3640 SE 28TH AVE,PORTLAND,OR,97202,45.49651718,-122.6373749,41051000902,50,50,Not Indicated
ORA20050040,NEW COLUMBIA CECELIA,4926 N ESPERANZA CT,PORTLAND,OR,97203,45.59318542,-122.7180405,41051004001,131,131,Not Indicated
ORA20050045,NEW COLUMBIA HAVEN 9,9117 N FISKE AVE,PORTLAND,OR,97203,45.58883286,-122.7170792,41051004001,44,44,Not Indicated
ORA20050060,POWELL PLAZA I,13320 SE POWELL BLVD,PORTLAND,OR,97236,45.49734116,-122.5264511,41051009000,47,47,Not Indicated
ORA20050065,POWELL PLAZA II,13320 SE POWELL BLVD,PORTLAND,OR,97236,45.49734116,-122.5264511,41051009000,20,20,Not Indicated
ORA20050075,SITKA APTS,1115 NW NORTHRUP ST,PORTLAND,OR,97209,45.53167725,-122.6827316,41051005100,209,203,Not Indicated
ORA20050080,TENINO TERRACE,2405 SE UMATILLA ST,PORTLAND,OR,97202,45.46304321,-122.6403961,41051000200,94,94,Not Indicated
ORA20050085,WEST GRESHAM APTS,17257 E BURNSIDE ST,PORTLAND,OR,97233,45.5223465,-122.4856186,41051009606,27,26,Not Indicated
ORA20060010,CLARA VISTA TOWNHOMES,5335 NE CULLY BLVD,PORTLAND,OR,97218,45.56172562,-122.5954514,41051007500,44,44,Not Indicated
ORA20060015,COLUMBIA KNOLL,8320 NE SANDY BLVD,PORTLAND,OR,97220,45.55355072,-122.5754242,41051007800,326,326,Not Indicated
ORA20060040,LINCOLN WOODS,2333 SE 130TH AVE,PORTLAND,OR,97233,45.50530243,-122.5301743,41051009201,70,70,Not Indicated
ORA20060055,NEW COLUMBIA WOOLSEY 1,8937 N NEWMAN AVE,PORTLAND,OR,97203,45.58765411,-122.7158813,41051004001,42,42,Not Indicated
ORA20060060,NEW COLUMBIA WOOLSEY 2,4611 N NEWARK ST,PORTLAND,OR,97203,45.59013748,-122.7150116,41051004001,47,47,Not Indicated
ORA20060065,NEW COLUMBIA: WOOLSEY 3,9209 N DWIGHT AVE,PORTLAND,OR,97203,45.58962631,-122.7149048,41051004001,42,42,Not Indicated
ORA20060100,VILLAGE AT THE HEADWATERS,3131 SW MARIGOLD ST,PORTLAND,OR,97219,45.46086502,-122.7095642,41051006502,56,56,Not Indicated
ORA20060105,WEIDLER COMMONS,1529 NE 21ST AVE,PORTLAND,OR,97232,45.53425217,-122.6450729,41051002502,51,51,Not Indicated
ORA20060117,NEW COLUMBIA TROUTON,9126 N WOOLSEY AVE,PORTLAND,OR,97203,45.58923721,-122.7131958,41051003901,250,250,Not Indicated
ORA20070010,ESTATE BUILDING,225 NW COUCH ST,PORTLAND,OR,97209,45.52400589,-122.672966,41051005100,191,140,Not Indicated
